Time resolution is 1 ps
Time	 a  b   s | sum carry
4350000	 1101  1001  1 | 0100 1
4360000	 1101  1010  0 | 0111 1
4370000	 1101  1010  1 | 0011 1
4380000	 1101  1011  0 | 1000 1
4390000	 1101  1011  1 | 0010 1
4400000	 1101  1100  0 | 1001 1
4410000	 1101  1100  1 | 0001 1
4420000	 1101  1101  0 | 1010 1
4430000	 1101  1101  1 | 0000 1
4440000	 1101  1110  0 | 1011 1
4450000	 1101  1110  1 | 1111 0
4460000	 1101  1111  0 | 1100 1
4470000	 1101  1111  1 | 1110 0
4480000	 1110  0000  0 | 1110 0
4490000	 1110  0000  1 | 1110 1
4500000	 1110  0001  0 | 1111 0
4510000	 1110  0001  1 | 1101 1
4520000	 1110  0010  0 | 0000 1
4530000	 1110  0010  1 | 1100 1
4540000	 1110  0011  0 | 0001 1
4550000	 1110  0011  1 | 1011 1
4560000	 1110  0100  0 | 0010 1
4570000	 1110  0100  1 | 1010 1
4580000	 1110  0101  0 | 0011 1
4590000	 1110  0101  1 | 1001 1
4600000	 1110  0110  0 | 0100 1
4610000	 1110  0110  1 | 1000 1
4620000	 1110  0111  0 | 0101 1
4630000	 1110  0111  1 | 0111 1
4640000	 1110  1000  0 | 0110 1
4650000	 1110  1000  1 | 0110 1
4660000	 1110  1001  0 | 0111 1
4670000	 1110  1001  1 | 0101 1
4680000	 1110  1010  0 | 1000 1
4690000	 1110  1010  1 | 0100 1
4700000	 1110  1011  0 | 1001 1
4710000	 1110  1011  1 | 0011 1
4720000	 1110  1100  0 | 1010 1
4730000	 1110  1100  1 | 0010 1
4740000	 1110  1101  0 | 1011 1
4750000	 1110  1101  1 | 0001 1
4760000	 1110  1110  0 | 1100 1
4770000	 1110  1110  1 | 0000 1
4780000	 1110  1111  0 | 1101 1
4790000	 1110  1111  1 | 1111 0
4800000	 1111  0000  0 | 1111 0
4810000	 1111  0000  1 | 1111 1
4820000	 1111  0001  0 | 0000 1
4830000	 1111  0001  1 | 1110 1
4840000	 1111  0010  0 | 0001 1
4850000	 1111  0010  1 | 1101 1
4860000	 1111  0011  0 | 0010 1
4870000	 1111  0011  1 | 1100 1
4880000	 1111  0100  0 | 0011 1
4890000	 1111  0100  1 | 1011 1
4900000	 1111  0101  0 | 0100 1
4910000	 1111  0101  1 | 1010 1
4920000	 1111  0110  0 | 0101 1
4930000	 1111  0110  1 | 1001 1
4940000	 1111  0111  0 | 0110 1
4950000	 1111  0111  1 | 1000 1
4960000	 1111  1000  0 | 0111 1
4970000	 1111  1000  1 | 0111 1
4980000	 1111  1001  0 | 1000 1
4990000	 1111  1001  1 | 0110 1
5000000	 1111  1010  0 | 1001 1
5010000	 1111  1010  1 | 0101 1
5020000	 1111  1011  0 | 1010 1
5030000	 1111  1011  1 | 0100 1
5040000	 1111  1100  0 | 1011 1
5050000	 1111  1100  1 | 0011 1
5060000	 1111  1101  0 | 1100 1
5070000	 1111  1101  1 | 0010 1
5080000	 1111  1110  0 | 1101 1
5090000	 1111  1110  1 | 0001 1
5100000	 1111  1111  0 | 1110 1
5110000	 1111  1111  1 | 0000 1
$finish called at time : 5120 ns : File "/home/psh/work/adder/adder.srcs/sim_1/new/tb_full_adder.v" Line 267
